,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Mayor Sam Yorty and engineer S.S. Taylor demonstrating radar speed meter in Los Angeles, Calif., 1972",Radar in speed limit enforcement--Equipment and supplies,Other,"Taylor, Sam (Seymour Stillman), 1914-1977",Los Angeles (Calif.)--Officials and employees,"Brown, Frank Q.",1972-01-01,1972,"A RADAR REMINDER--Mayor Sam Yorty and S.S. (Sam) Taylor, city traffic engineer, with a radar-activated meter that shows motorists how fast they are driving. Device, first of four planned, was demonstrated outside City Hall. It was conceived by Taylor for use in city's high-speed areas.",-118.2432586,34.05404166,"34.05404166,-118.2432586",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327719a.jpg
"Cyclists on the bike path along Venice and Santa Monica Beach, Calif., 1972",Outdoor recreation--California--Los Angeles County,Other,,Santa Monica (Calif.)--Social life and customs,"Cormier, Don",1972-01-01,1972,"A BIKE, A BEACH AND A BEAUTIFUL DAY--The bicyclists came out in force Sunday to enjoy the new bike path between Venice Beach and Lick Pier in Santa Monica. It was a warm day with a deep blue sky punctuated by puffy clouds--just right for peddling along the sand.",-118.4859958,33.99968168,"33.99968168,-118.4859958",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326972a.jpg
"Birds-eye view of two undeveloped lots next to the Los Angeles Convention Center, Calif., 1973",City planning--California--Los Angeles County,Other,Los Angeles Convention Center,"Los Angeles (Calif.)--Buildings, structures, etc.","Cox, Bruce H.",1973-01-01,1973,TRADE CENTER SITE--Two parcels of land in front of L.A. Convention Center present a problem for city. They were to accommodate a world trade center but the project is now at a dead end.,-118.2702899,34.04016933,"34.04016933,-118.2702899",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328000a.jpg
"Mayme A. Clayton, portrait, 1973",Archivists--California--Los Angeles County,Other,"Clayton, Mayme A., 1923-2006",Los Angeles (Calif.),"Rogers, Art",1973-01-01,1973,THE COLLECTOR--Mayme Clayton has put together one of the nation's largest bodies of rare books written by and about black people.,-118.3241822,34.02978137,"34.02978137,-118.3241822",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0002prp3-1-thumbnail.jpg
"Cityscape of roof tops of houses with construction of high rise buildings in Los Angeles, Calif., 1973",Skyscrapers--California--Los Angeles--1970-1980,Other,,"Los Angeles (Calif.)--Buildings, structures, etc.","Malmin, John",1973-01-01,1973,"THE CALM AFTER THE STORM--A blue-skied clear day followed the heavy rain and wind of Thursday. This view, taken from the Lyon Moving & Storage Building at 1950 S. Vermont, shows the changing skyline and the snow-capped San Gabriel Mountains.",-118.2915252,34.0385558,"34.0385558,-118.2915252",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327744a.jpg
"Cityscape with St. Vibiana's Cathedral and high-rise buildings in downtown Los Angeles, Calif., 1973",Cardinals--California--Los Angeles,Other,Union Rescue Mission of Los Angeles,"Los Angeles (Calif.)--Buildings, structures, etc.","Malmin, John",1973-01-01,1973,"SHARING A PLACE IN THE SUN--St. Vibiana's Cathedral, right foreground, built in 1876, and the city's newest skyscrapers are bathed in bright sunshine during the second consecutive day of clear skies and mild temperatures. The high in Los Angeles Monday was 76.",-118.2437521,34.05014822,"34.05014822,-118.2437521",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328019a.jpg
"Los Angeles Harbor at Beacon Street Redevelopment Project area in San Pedro, Calif., 1973",City planning--California--Los Angeles County,Other,,"San Pedro (Los Angeles, Calif.)","Mally, Michael",1973-01-01,1973,"RENEWAL PROJECT--This is the major portion of Beacon St. urban renewal project in San Pedro. The land, along Los Angeles Harbor's main channel, is cleared and ready for redevelopment but project was denied exemption by state commission. Project's future now is uncertain.",-118.2839584,33.72926522,"33.72926522,-118.2839584",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328025a.jpg
"Artist Noel J. Quinn in his studio, working on horse racing paintings in Los Angeles, Calif., 1973",Artists' studios--California--Los Angeles,Other,"Quinn, Noel J., 1915-1993",Los Angeles (Calif.),"Whitney, Fitzgerald",1973-01-01,1973,"RACEY STUFF--Artist Noel Quinn, whose horse race paintings have become collector's items, works on new lithographs in his studio atop Mt. Washington.",-118.2201004,34.0998207,"34.0998207,-118.2201004",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327917a.jpg
"""Quarantined挞夆洛_Polluted Water"" sign with children playing in sand behind it on Cabrillo Beach, Calif., 1973",Seashore--California--Los Angeles County,Other,,Los Angeles (Calif.),"Malmin, John",1973-01-01,1973,NO SWIMMING--Quarantine sign warns of polluted water at Cabrillo Beach.,-118.2832074,33.71131948,"33.71131948,-118.2832074",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327985a.jpg
"Beach goers with discarded Christmas tree on shoreline with sailboats in background at Marina del Rey, Calif., 1973",Sunbathing,Other,,Marina del Rey (Calif.),"Yaro, Boris",1973-01-01,1973,"LITTER TREE--Youngsters enjoy a breezy day at Marina del Rey beach and do a good turn as well. They found a discarded Christmas tree and decorated it with litter--cans, cartons and plastic.",-118.4632587,33.97361638,"33.97361638,-118.4632587",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327940a.jpg
"Female student dressed in cut-off jean shorts, tights and platform shoes talking with classmate at Hamilton High School in Los Angeles, Calif., 1973",Teenagers--Clothing & dress--California--Los Angeles--1970-1980,Other,"Hamilton High School (Los Angeles, Calif.)--Students",Los Angeles (Calif.),"Kennedy, Joe",1973-01-01,1973,Dress code is thing of the past.,-118.3910966,34.03409697,"34.03409697,-118.3910966",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327979a.jpg
"Cityscape of Beverly Hills looking east along Wilshire Blvd. at Santa Monica Blvd, Calif., 1973",Urban growth--California--Beverly Hills,Other,,"Santa Monica Boulevard (Los Angeles, Calif.)","Cooper, Gil",1973-01-01,1973,DEVELOPMENT VS. ENVIRONMENT--View of Beverly Hills looking east along Wilshire Blvd. shows building trends which have sparked disagreements between developers and environmentalists. City Council will consider Tuesday a Planning commission plea for a four-month moratorium on all commercial and multiple-residential construction.,-118.4120634,34.06654971,"34.06654971,-118.4120634",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328191a.jpg
"Apostolic Tabernacle's Reverend David Elms and youths at book burning in Bellflower, Calif., 1973",Youth--Religious life--California--Los Angeles County,Identity,"Apostolic Tabernacle Church (Bellflower, Calif.)",Bellflower (Calif.),"Sharkey, Larry",1973-01-01,1973,"BOOK BURNING-- The Rev. David Elms, right, puts dirty books in a trash can so they can be burned, the climax of a two-week youth revival conducted at the Apostolic Tabernacle of Bellflower.",-118.1159744,33.88831238,"33.88831238,-118.1159744",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328180a.jpg
"Motorists lined up at gas station during oil crisis, Los Angeles, Calif., 1973",Automobiles--United States--1970-1980,Other,,Los Angeles (Calif.),"Saxon, Reed",1973-01-01,1973,A QUICK FILL-UP--Motorists trying to beat the threat of gasoline station closings line up in the street at station on N. Broadway in Los Angeles.,-118.2076885,34.0734529,"34.0734529,-118.2076885",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327967a.jpg
"Patients attending a Catholic mass at Pacific State Hospital, Pomona, 1974",Mentally ill persons $z California $z Pomona,Other,"Pacific State Hospital (Pomona, Calif.)",Pomona (Calif.),,1974-01-01,1974,,-117.8109553,34.04624524,"34.04624524,-117.8109553",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b734_neg278026-5_frame35.jpg
"Male streaker running across stage at the 47th annual Academy Awards in Los Angeles, Calif., 1974",Practical jokes,Other,,Los Angeles (Calif.),"Kennedy, Joe",1974-01-01,1974,,-118.248961,34.05658831,"34.05658831,-118.248961",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328086a.jpg
"Male streaker running across field during Los Angeles Dodgers game, 1974",Practical jokes,Other,Los Angeles Dodgers (Baseball team),Los Angeles (Calif.),"Rogers, Art",1974-01-01,1974,,-118.2393587,34.07359509,"34.07359509,-118.2393587",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328087a.jpg
"Cityscape of Hollywood and downtown Los Angeles viewed from Hollywood Freeway, Calif., 1974",Environment,Other,,United States Highway 101,"Cox, Bruce H.",1974-01-01,1974,"WINTER WINDS--Viewed from above Hollywood Freeway, downtown skyline is silhouetted against horizon as winds blow smog and fog away.",-118.3363795,34.11223537,"34.11223537,-118.3363795",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327759a.jpg
"Lines of automobiles waiting at car wash-gas station during oil crisis in Los Angeles, Calif., 1974",Automobiles--United States--1970-1980,Other,,Los Angeles (Calif.),"Montney, Cal",1974-01-01,1974,THE LINEUP--Gasoline-hungry drivers jockey for position at a filling station on Santa Barbara Ave.,-118.2916859,34.01071254,"34.01071254,-118.2916859",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327975a.jpg
"Courtney E. Peterson and worshiper at Pacific State Hospital, Pomona, 1974",Mentally disabled children $z California $z Pomona,Other,"Peterson, Courtney E.",Pomona (Calif.),,1974-01-01,1974,Text from newspaper caption: Pray for me挞夆聣蹪The Rev. Courtney E. Peterson hears the prayer request of a worshiper of Pacific State Hospital in Pomona. The residents often pray that their parents will come to visit them. Times photo by Joe Kennedy.,-117.810567,34.046414,"34.046414,-117.810567",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b734_neg278026-1_frame14A.jpg
"Art therapist Don Dollinger, watching two people paint mural at Beverlywood, an after care center in Los Angeles, Calif., 1974",Art therapy--California--Los Angeles County,Other,"University Year for Action (Program : University of California, Los Angeles)",Los Angeles (Calif.),"Malmin, John",1974-01-01,1974,"MORE THAN A MURAL--Don Dollinger, head of therapeutic art, watches Gay Kenyon, left, and Don Ellsworth touch up a mural at Beverlywood after care center for the emotionally disturbed. Diverse, symbolic, often provocative, the art work serves as a means of communication. See story on Page 12.",-118.3865811,34.0437632,"34.0437632,-118.3865811",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328094a.jpg
"Midwife Wanda Mudler with mother and newborn at Los Angeles County-USC Medical Center, Calif., 1974",Women's health services--California--Los Angeles County,Other,Los Angeles County-University of Southern California Medical Center,Los Angeles (Calif.),"Frampton, Mary",1974-01-01,1974,"LANDMARK FOR LOS ANGELES--Jose Luis, with his mother, Mrs. Nicando Gutierrez, is the first announced baby delivered by a nurse-midwife, Wanda Mudler, left, in a pilot program at County-USC.",-118.2084301,34.05961263,"34.05961263,-118.2084301",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328196a.jpg
"Collapsed scaffolding surrounding columns during construction of Simi Valley-San Fernando Valley Freeway, Calif., 1974",Windstorms--California--Los Angeles County,Other,,California Route 118 (Calif.)--Design and construction,"Malmin, John",1974-01-01,1974,ILL WIND--Twisted scaffolding of ramp under construction on Simi Valley-San Fernando Valley Freeway after it was felled by strong winds.,-118.4412003,34.26615449,"34.26615449,-118.4412003",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327758a.jpg
"British Airways Concorde on tarmac at Los Angeles International Airport, Calif., 1974",Concorde (Jet transports),Other,British Airways,Los Angeles (Calif.),"Whitney, Fitzgerald",1974-01-01,1974,"DISPLAY--The British-French Concorde is viewed by crowds on south side of International Airport. The supersonic craft, which arrived from Anchorage Wednesday, is to leave today for Lima, Peru.",-118.4055805,33.93253621,"33.93253621,-118.4055805",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328140a.jpg
"Art Chapman trolley driver at Disneyland in Anaheim, Calif., 1974","Trolley buses--California, Southern",Other,,Disneyland (Calif.),"Sharkey, Larry",1974-01-01,1974,"ALL ABOARD--Art Chapman, a former cowboy who has spent 20 years behind the reins at Disneyland, and his horse, Joy, at start of half-mile run from main gate to center of the park.",-117.9187743,33.81043817,"33.81043817,-117.9187743",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328150a.jpg
"Dr. John C. Jones, Childrens Hospital of Los Angeles, Los Angeles, 1975",Receptions--California--Los Angeles,Other,Childrens Hospital of Los Angeles,Los Angeles (Calif.),"Whitney, Fitzgerald",1975-01-01,1975,,-118.2910906,34.0976711,"34.0976711,-118.2910906",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b742_279687_frame15.jpg
"Bing Crosby greeting two men at a fundraiser, the Getty Center, Los Angeles, 1975",Singers $z California $z Los Angeles,Other,"Crosby, Bing, $d 1904-1977",Los Angeles (Calif.),,1975-01-01,1975,,-118.4747679,34.07698728,"34.07698728,-118.4747679",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b753_neg281464-2_frame2.jpg
"Man fishing in Echo Park lake with buildings of Bunker Hill in background in Los Angeles, Calif., 1975",Fishing--California--Los Angeles,Other,,"Echo Park (Los Angeles, Calif.)","Fontanini, Steve",1975-01-01,1975,URBAN IDYLL--The buildings of Bunker Hill are reflected in Echo Park Lake and on such a lovely day who cares if the fish are biting?,-118.261385,34.07171549,"34.07171549,-118.261385",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327773a.jpg
"Dr. John C. Jones kissing Marie G. Brotherton, Childrens Hospital of Los Angeles, Los Angeles, 1975",Receptions--California--Los Angeles,Other,Childrens Hospital of Los Angeles,Los Angeles (Calif.),"Whitney, Fitzgerald",1975-01-01,1975,"Text from newspaper caption: Retires--Marie G. Brotherton, a registered nurse leaving Childrens Hospital of Los Angeles after 48 years' service, has a kiss for Dr. John C. Jones, former head of the hospital's thoracic surgery division, at a reception in her honor.  She worked with Dr. Jones in days when he performed the first recorded series of heart surgeries.",-118.2910906,34.0976711,"34.0976711,-118.2910906",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b742_279687_frame16.jpg
"Connie Ardagna, Metropolitan Psychatric Services, Los Angeles, 1975",Mental health services--California--Los Angeles County,Other,Metropolitan Psychiatric Services,"Lincoln Heights (Los Angeles, Calif.)",,1975-01-01,1975,"Text from newspaper caption: Problems--Mrs. Connie Ardagna is director of Metropolitan Psychiatric Services, located in the heart of Lincoln Heights, which handles family problems, alcoholism, emotional breakdown.",-118.213633,34.07401,"34.07401,-118.213633",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b747_neg280389_frame4.jpg
